genus	phylum
Actinobaculum	Actinobacteria
Leptotrichia	Fusobacteria
Acidaminococcus	Firmicutes
Clostridiales_Family_XIII_Incertae_Sedis_unclassified	Firmicutes
Ruminococcaceae_unclassified	Firmicutes
Anaerococcus	Firmicutes
Massilia	Proteobacteria
Bradyrhizobium	Proteobacteria
Propionibacterium	Actinobacteria
Gluconobacter	Proteobacteria
Chryseobacterium	Bacteroidetes
Prevotella	Bacteroidetes
Lactobacillus	Firmicutes
Chlamydia	Chlamydiae
Enterococcus	Firmicutes
Pantoea	Proteobacteria
Bifidobacterium	Actinobacteria
Achromobacter	Proteobacteria
Alistipes	Bacteroidetes
Pseudomonas	Proteobacteria
Corynebacterium	Actinobacteria
Acetivibrio	Firmicutes
Facklamia	Firmicutes
Pseudocitrobacter	Proteobacteria
Bacillus	Firmicutes
Lawsonibacter	Firmicutes
Megamonas	Firmicutes
Clostridium	Firmicutes
Bacteroides	Bacteroidetes
Haemophilus	Proteobacteria
Oscillibacter	Firmicutes
Bacteroidales_unclassified	Bacteroidetes
Leptospira	Spirochaetes
Mycoplasma	Tenericutes
Barnesiella	Bacteroidetes
Mogibacterium	Firmicutes
Acinetobacter	Proteobacteria
Romboutsia	Firmicutes
Paenibacillus	Firmicutes
Microvirgula	Proteobacteria
Fusobacterium	Fusobacteria
Nocardiopsis	Actinobacteria
Simonsiella	Proteobacteria
Rothia	Actinobacteria
Streptomyces	Actinobacteria
Clostridioides	Firmicutes
Actinomyces	Actinobacteria
Staphylococcus	Firmicutes
Frigoribacterium	Actinobacteria
Streptococcus	Firmicutes
Ralstonia	Proteobacteria
Campylobacter	Proteobacteria
Pseudoramibacter	Firmicutes
Agrobacterium	Proteobacteria
Roseomonas	Proteobacteria
Paracoccus	Proteobacteria
Eisenbergiella	Firmicutes
Brevibacterium	Actinobacteria
Weissella	Firmicutes
Leuconostoc	Firmicutes
Helicobacter	Proteobacteria
Paraclostridium	Firmicutes
Phascolarctobacterium	Firmicutes
Hungatella	Firmicutes
Erysipelatoclostridium	Firmicutes
Lachnospiraceae_unclassified	Firmicutes
Shewanella	Proteobacteria
Comamonas	Proteobacteria
Wohlfahrtiimonas	Proteobacteria
Lachnoclostridium	Firmicutes
Flavonifractor	Firmicutes
Aspergillus	Ascomycota
Virgibacillus	Firmicutes
Sphingopyxis	Proteobacteria
Veillonella	Firmicutes
Butyrivibrio	Firmicutes
Eubacterium	Firmicutes
Mitsuokella	Firmicutes
Anaerostipes	Firmicutes
Chelatococcus	Proteobacteria
Burkholderia	Proteobacteria
Roseburia	Firmicutes
Lachnoanaerobaculum	Firmicutes
Blautia	Firmicutes
Scardovia	Actinobacteria
Methylorubrum	Proteobacteria
Olsenella	Actinobacteria
Gemmiger	Firmicutes
Firmicutes_unclassified	Firmicutes
Bilophila	Proteobacteria
Edwardsiella	Proteobacteria
Parasutterella	Proteobacteria
Peptostreptococcaceae_unclassified	Firmicutes
Candidatus_Gastranaerophilales_unclassified	Candidatus_Melainabacteria
Eikenella	Proteobacteria
Enterobacter	Proteobacteria
Proteus	Proteobacteria
Megasphaera	Firmicutes
