Superclass1	Superclass2	pathway
1CMET2-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	folate transformations III (E. coli)
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	4-hydroxyphenylacetate degradation
4-HYDROXYMANDELATE-DEGRADATION-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	4-hydroxymandelate degradation
7ALPHADEHYDROX-PWY	Biosynthesis	Secondary Metabolite Biosynthesis	cholate degradation (bacteria, anaerobic)
AEROBACTINSYN-PWY	Biosynthesis	Secondary Metabolite Biosynthesis	aerobactin biosynthesis
ALL-CHORISMATE-PWY	Biosynthesis	Aromatic Compound Biosynthesis	superpathway of chorismate metabolism
ALLANTOINDEG-PWY	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation	superpathway of allantoin degradation in yeast
ANAEROFRUCAT-PWY	Generation of Precursor Metabolites and Energy	Fermentation	homolactic fermentation
ANAGLYCOLYSIS-PWY	Generation of Precursor Metabolites and Energy	Glycolysis	glycolysis III (from glucose)
ARG+POLYAMINE-SYN	Biosynthesis	Amide, Amidine, Amine, and Polyamine Biosynthesis	superpathway of arginine and polyamine biosynthesis
ARGDEG-PWY	Degradation/Utilization/Assimilation	Amino Acid Degradation	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation
ARGININE-SYN4-PWY	Biosynthesis	Amino Acid Biosynthesis	L-ornithine biosynthesis II
ARGORNPROST-PWY	Metabolite Activation/Inactivation/Interconversion	Metabolite Interconversion	arginine, ornithine and proline interconversion
ARGSYN-PWY	Biosynthesis	Amino Acid Biosynthesis	L-arginine biosynthesis I (via L-ornithine)
ARGSYNBSUB-PWY	Biosynthesis	Amino Acid Biosynthesis	L-arginine biosynthesis II (acetyl cycle)
ARO-PWY	Biosynthesis	Carboxylic Acid Biosynthesis	chorismate biosynthesis I
ASPASN-PWY	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-aspartate and L-asparagine biosynthesis
AST-PWY	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-arginine degradation II (AST pathway)
BIOTIN-BIOSYNTHESIS-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	biotin biosynthesis I
BRANCHED-CHAIN-AA-SYN-PWY	Biosynthesis	Amino Acid Biosynthesis	superpathway of branched chain amino acid biosynthesis
CALVIN-PWY	Biosynthesis&&Degradation/Utilization/Assimilation	Carbohydrate Biosynthesis&&C1 Compound Utilization and Assimilation	Calvin-Benson-Bassham cycle
CATECHOL-ORTHO-CLEAVAGE-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	catechol degradation to &beta;-ketoadipate
CENTFERM-PWY	Generation of Precursor Metabolites and Energy	Fermentation	pyruvate fermentation to butanoate
CHLOROPHYLL-SYN	Biosynthesis	Tetrapyrrole Biosynthesis&&Secondary Metabolite Biosynthesis	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)
CITRULBIO-PWY	Biosynthesis	Amino Acid Biosynthesis	L-citrulline biosynthesis
COA-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	coenzyme A biosynthesis I (prokaryotic)
COA-PWY-1	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of coenzyme A biosynthesis III (mammals)
COBALSYN-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of adenosylcobalamin salvage from cobinamide I
CODH-PWY	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)
COLANSYN-PWY	Biosynthesis	Carbohydrate Biosynthesis	colanic acid building blocks biosynthesis
COMPLETE-ARO-PWY	Biosynthesis	Amino Acid Biosynthesis	superpathway of aromatic amino acid biosynthesis
CRNFORCAT-PWY	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation	creatinine degradation I
DAPLYSINESYN-PWY	Biosynthesis	Amino Acid Biosynthesis	L-lysine biosynthesis I
DENITRIFICATION-PWY	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Inorganic Nutrient Metabolism&&Respiration	nitrate reduction I (denitrification)
DENOVOPURINE2-PWY	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of purine nucleotides de novo biosynthesis II
DHGLUCONATE-PYR-CAT-PWY	Degradation/Utilization/Assimilation	Carbohydrate Degradation	glucose degradation (oxidative)
DTDPRHAMSYN-PWY	Biosynthesis	Carbohydrate Biosynthesis	dTDP-&beta;-L-rhamnose biosynthesis
ECASYN-PWY	Biosynthesis	Carbohydrate Biosynthesis	enterobacterial common antigen biosynthesis
ENTBACSYN-PWY	Biosynthesis	Secondary Metabolite Biosynthesis	enterobactin biosynthesis
FAO-PWY	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	fatty acid &beta;-oxidation I (generic)
FASYN-ELONG-PWY	Biosynthesis	Fatty Acid and Lipid Biosynthesis	fatty acid elongation -- saturated
FASYN-INITIAL-PWY	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of fatty acid biosynthesis initiation (E. coli)
FERMENTATION-PWY	Generation of Precursor Metabolites and Energy	Fermentation	mixed acid fermentation
FOLSYN-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of tetrahydrofolate biosynthesis and salvage
FUC-RHAMCAT-PWY	Biosynthesis	Carbohydrate Biosynthesis	superpathway of fucose and rhamnose degradation
FUCCAT-PWY	Degradation/Utilization/Assimilation	Carbohydrate Degradation	fucose degradation
GALACT-GLUCUROCAT-PWY	Biosynthesis	Carbohydrate Biosynthesis	superpathway of hexuronide and hexuronate degradation
GALACTARDEG-PWY	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation	D-galactarate degradation I
GALACTUROCAT-PWY	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation&&Carbohydrate Degradation	D-galacturonate degradation I
GALLATE-DEGRADATION-I-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	gallate degradation II
GALLATE-DEGRADATION-II-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	gallate degradation I
GLCMANNANAUT-PWY	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation
GLUCARDEG-PWY	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation	D-glucarate degradation I
GLUCARGALACTSUPER-PWY	Biosynthesis	Carbohydrate Biosynthesis	superpathway of D-glucarate and D-galactarate degradation
GLUCONEO-PWY	Biosynthesis	Carbohydrate Biosynthesis	gluconeogenesis I
GLUCOSE1PMETAB-PWY	Degradation/Utilization/Assimilation	Carbohydrate Degradation	glucose and glucose-1-phosphate degradation
GLUCUROCAT-PWY	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation&&Carbohydrate Degradation	superpathway of &beta;-D-glucuronosides degradation
GLUDEG-I-PWY	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation&&Amino Acid Degradation	GABA shunt
GLUDEG-II-PWY	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Amino Acid Degradation&&Fermentation	L-glutamate degradation VII (to butanoate)
GLUTORN-PWY	Biosynthesis	Amino Acid Biosynthesis	L-ornithine biosynthesis I
GLYCOCAT-PWY	Degradation/Utilization/Assimilation&&Glycan Pathways	Carbohydrate Degradation&&Polymeric Compound Degradation	glycogen degradation I
GLYCOGENSYNTH-PWY	Biosynthesis	Carbohydrate Biosynthesis	glycogen biosynthesis I (from ADP-D-Glucose)
GLYCOL-GLYOXDEG-PWY	Degradation/Utilization/Assimilation	Alcohol Degradation	superpathway of glycol metabolism and degradation
GLYCOLYSIS	Generation of Precursor Metabolites and Energy	Glycolysis	glycolysis I (from glucose 6-phosphate)
GLYCOLYSIS-E-D	Generation of Precursor Metabolites and Energy	NA	superpathway of glycolysis and the Entner-Doudoroff pathway
GLYCOLYSIS-TCA-GLYOX-BYPASS	Generation of Precursor Metabolites and Energy	NA	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass
GLYOXYLATE-BYPASS	Generation of Precursor Metabolites and Energy	NA	glyoxylate cycle
GOLPDLCAT-PWY	Degradation/Utilization/Assimilation	Alcohol Degradation&&Carbohydrate Degradation	superpathway of glycerol degradation to 1,3-propanediol
HCAMHPDEG-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
HEME-BIOSYNTHESIS-II	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis&&Tetrapyrrole Biosynthesis	heme b biosynthesis I (aerobic)
HEMESYN2-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis&&Tetrapyrrole Biosynthesis	heme b biosynthesis II (oxygen-independent)
HEXITOLDEGSUPER-PWY	Degradation/Utilization/Assimilation	Carbohydrate Degradation&&Alcohol Degradation	superpathway of hexitol degradation (bacteria)
HISDEG-PWY	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-histidine degradation I
HISTSYN-PWY	Biosynthesis	Amino Acid Biosynthesis	L-histidine biosynthesis
HOMOSER-METSYN-PWY	Biosynthesis	Amino Acid Biosynthesis	L-methionine biosynthesis I
HSERMETANA-PWY	Biosynthesis	Amino Acid Biosynthesis	L-methionine biosynthesis III
ILEUDEG-PWY	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-isoleucine degradation I
ILEUSYN-PWY	Biosynthesis	Amino Acid Biosynthesis	L-isoleucine biosynthesis I (from threonine)
KDO-NAGLIPASYN-PWY	Biosynthesis	Fatty Acid and Lipid Biosynthesis&&Cell Structure Biosynthesis	superpathway of (Kdo)2-lipid A biosynthesis
KETOGLUCONMET-PWY	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation	ketogluconate metabolism
LACTOSECAT-PWY	Degradation/Utilization/Assimilation	Carbohydrate Degradation	lactose and galactose degradation I
LEU-DEG2-PWY	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-leucine degradation I
LIPASYN-PWY	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	phospholipases
LPSSYN-PWY	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of lipopolysaccharide biosynthesis
LYSINE-AMINOAD-PWY	Biosynthesis	Amino Acid Biosynthesis	L-lysine biosynthesis IV
LYSINE-DEG1-PWY	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-lysine degradation XI (mammalian)
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	Biosynthesis&&Macromolecule Modification	Carbohydrate Biosynthesis&&Protein Modification	protein N-glycosylation initial phase (eukaryotic)
MET-SAM-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of S-adenosyl-L-methionine biosynthesis
METH-ACETATE-PWY	Generation of Precursor Metabolites and Energy&&Degradation/Utilization/Assimilation	Respiration&&Acetate Degradation	methanogenesis from acetate
METHANOGENESIS-PWY	Generation of Precursor Metabolites and Energy	Respiration	methanogenesis from H2 and CO2
METHGLYUT-PWY	Degradation/Utilization/Assimilation	Aldehyde Degradation	superpathway of methylglyoxal degradation
METHYLGALLATE-DEGRADATION-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	methylgallate degradation
METSYN-PWY	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-homoserine and L-methionine biosynthesis
NAD-BIOSYNTHESIS-II	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	NAD salvage pathway III (to nicotinamide riboside)
NADSYN-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	NAD de novo biosynthesis II (from tryptophan)
NAGLIPASYN-PWY	Biosynthesis	Cell Structure Biosynthesis&&Fatty Acid and Lipid Biosynthesis	lipid IVA biosynthesis (E. coli)
NONMEVIPP-PWY	Biosynthesis	Secondary Metabolite Biosynthesis	methylerythritol phosphate pathway I
NONOXIPENT-PWY	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways	pentose phosphate pathway (non-oxidative branch) I
OANTIGEN-PWY	Biosynthesis	Carbohydrate Biosynthesis	O-antigen building blocks biosynthesis (E. coli)
ORNARGDEG-PWY	Degradation/Utilization/Assimilation	Amino Acid Degradation	superpathway of L-arginine and L-ornithine degradation
ORNDEG-PWY	Degradation/Utilization/Assimilation	Amide, Amidine, Amine, and Polyamine Degradation	superpathway of ornithine degradation
P101-PWY	Biosynthesis	Amide, Amidine, Amine, and Polyamine Biosynthesis	ectoine biosynthesis
P105-PWY	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle IV (2-oxoglutarate decarboxylase)
P108-PWY	Generation of Precursor Metabolites and Energy	Fermentation	pyruvate fermentation to propanoate I
P122-PWY	Generation of Precursor Metabolites and Energy	Fermentation	heterolactic fermentation
P124-PWY	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Carbohydrate Degradation&&Fermentation	Bifidobacterium shunt
P125-PWY	Biosynthesis	Other Biosynthesis	superpathway of (R,R)-butanediol biosynthesis
P161-PWY	Generation of Precursor Metabolites and Energy	Fermentation	acetylene degradation (anaerobic)
P162-PWY	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Amino Acid Degradation&&Fermentation	L-glutamate degradation V (via hydroxyglutarate)
P163-PWY	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Amino Acid Degradation&&Fermentation	L-lysine fermentation to acetate and butanoate
P164-PWY	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Nucleoside and Nucleotide Degradation&&Fermentation	purine nucleobases degradation I (anaerobic)
P165-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	superpathway of purines degradation in plants
P184-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	protocatechuate degradation I (meta-cleavage pathway)
P185-PWY	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	formaldehyde assimilation III (dihydroxyacetone cycle)
P221-PWY	Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	octane oxidation
P23-PWY	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	reductive TCA cycle I
P241-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	coenzyme B biosynthesis
P261-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	coenzyme M biosynthesis I
P281-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	3-phenylpropanoate degradation
P3-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	gallate degradation III (anaerobic)
P381-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	adenosylcobalamin biosynthesis II (aerobic)
P4-PWY	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I
P42-PWY	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	incomplete reductive TCA cycle
